year,artist,title,medium,description,winner,image_path,image_stem,url
2011,Salvatore Zofrea,Grevillea landscape,oil on canvas,,False,data/images/2011_Salvatore Zofrea_Grevillea landscape.jpg,2011_Salvatore Zofrea_Grevillea landscape,https://www.artgallery.nsw.gov.au/prizes/wynne/2011/28969/
2012,Joshua Yeldham,Mangrove tree – Hawkesbury River,,"My children have found pirate treasure beneath this old mangrove tree. We climb its twisted limbs to avoid her sharp roots below. This golden tree, the stingrays, fishing lines, the tinny full of rain and the Hawkesbury River have deeply touched us. We ride the wild sea and I dance with my paintbrush for another day in this timeless land. Joshua Yeldham, 2012",False,data/images/2012_Joshua Yeldham_Mangrove tree _ Hawkesbury River.jpg,2012_Joshua Yeldham_Mangrove tree _ Hawkesbury River,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29214/
2012,Philip Wolfhagen,Third exaltation,,"The study of clouds was my first interest within the genre of landscape painting and every few years I return to the subject with renewed enthusiasm. Often I am driven by dissatisfaction with my earlier efforts, always striving for a more refined palette and a lighter touch. Third exaltation is one of a series of five large cloud paintings from 2011. In this painting I have worked over a pale citrus yellow ground, concentrating on paring back tonality to its bare minimum and allowing colour temperature to define pictorial depth. Philip Wolfhagen, 2012",False,data/images/2012_Philip Wolfhagen_Third exaltation.jpg,2012_Philip Wolfhagen_Third exaltation,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29213/
2012,Susan J White,Salamander Bay,,"This painting was done from memory. In my mind’s eye I went back to a place where I spent a lot of time when I was growing up and where I feel free – Salamander Bay in the Port Stephens area of New South Wales. I love the light, energy and spacial qualities of this environment. I think that there are visual cues that alter our breathing. Architectural structures like gothic cathedrals and mosques affect us psychologically and physically, giving us a sense of wonder and exaltation. Often I have observed people looking at a beautiful vista. They will breathe in deeply, raise their arms and clasp their hands behind their heads. I think that by doing this, more oxygen goes into the brain, which highlights our senses and intensifies our perceptions. Susan J White, 2012",True,data/images/2012_Susan J White_Salamander Bay.jpg,2012_Susan J White_Salamander Bay,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29255/
2012,Craig Waddell,The dunce – I will learn the rules before I speak,,"If an artist can’t make fun of himself, who can he make fun of? The dunce – I will learn the rules before I speak is part of an ongoing body of sculptures and ink drawings depicting flights of fantasy that blur the lines between traditional and non-traditional art methods. This possible self-portrait has its origins in a series of ink drawings made after Goya’s Los caprichos print series. I had these images hanging around in the studio for two years and decided to convert them into three-dimensional forms, to make a new body of work. In history, wearing the dunce hat was a punishment by public humiliation for misbehaviour and, as the name implies, stupidity Craig Waddell, 2012",False,data/images/2012_Craig Waddell_The dunce _ I will learn the rules before I speak.jpg,2012_Craig Waddell_The dunce _ I will learn the rules before I speak,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29212/
2012,Aida Tomescu,Crossgrain,,"Crossgrain is a painting that gives off a certain state, a certain condition, which is like a spirit of place or an intuition. What I wanted to get to was a unified presence, full and ordered with a light and clarity of its own. Intensively worked, scraped back repeatedly, and reconsidered, Crossgrain is not a painting about texture. Nor is the image trying to create a special illusion of a representative world – though if you want to think in terms of earth, air, the soft steps of the sky, it is all of those things. I think of Crossgrain more as a space where mood, movement, vibration, the linkages of marks across the surface and their special behaviour form a particular experience. Aida Tomescu, 2012",False,data/images/2012_Aida Tomescu_Crossgrain.jpg,2012_Aida Tomescu_Crossgrain,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29211/
2012,Imants Tillers,Waterfall (after Williams),,"This painting is my version of Fred Williams’s Free copy of Eugene von Guerard’s 'Waterfall, Strath Creek’, 1862 . Von Guerard’s celebrated painting hangs in the Art Gallery of New South Wales. Williams’s work was a gouache executed in 1970. However, he went on to paint several significant original oils of this iconic subject. In my work, the waterfall somehow embodies the fleeting and mysterious nature of life. The waters of Strath Creek, after all, come from the catchments around Mount Disappointment [in Victoria]. Super-imposed over the ever-changing movement of water, I have quoted the sentiments of a famous Indian sutra: The fleeting self Like a beam Like a vision Like a bubble Like a shadow Like dew Like lightening Imants Tillers, 2012",True,data/images/2012_Imants Tillers_Waterfall _after Williams_.jpg,2012_Imants Tillers_Waterfall _after Williams_,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29209/
2012,Tim Storrier,The dalliance,,"I believe that any written interpretation is superfluous to the innate narrative of the painting. Tim Storrier, 2012",False,data/images/2012_Tim Storrier_The dalliance.jpg,2012_Tim Storrier_The dalliance,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29208/
2012,Kate Shaw,Milkwater,acrylic and resin on board,"Milkwater is a term used to describe the milky-looking creeks that form after the rains in the Top End of Australia. This work was inspired by a Tjukurpa (Dreaming) that an artist from Balgo told me, which related milk water to the Milky Way galaxy. My paintings deal with the tensions and dichotomies in both the depiction of the natural world and our relationship to it. I am concurrently exploring the sublime in nature whilst imbuing a sense of toxicity and artificiality in this depiction. The intention is to reflect upon the contradiction between our inherent connection to the natural world and continual distancing from it. Kate Shaw, 2012",False,data/images/2012_Kate Shaw_Milkwater.jpg,2012_Kate Shaw_Milkwater,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29207/
2012,Jenny Sages,After the dry season,,"For 24 years in the dry season I have walked and flown by helicopter over this land, which is so old it makes me but a blink of an eye. We look for rock art, excited by the stories they tell. After the dry season rains plop gently, carrying debris around huge boulders in rivers until the heavy rains come pounding in. When I begin to work again, the images surface into recognition, Experimental in the sense that it signifies an attempt to make something, not knowing how and without knowing why. I follow what the encaustic surfaces will give me. Jenny Sages, 2012",False,data/images/2012_Jenny Sages_After the dry season.jpg,2012_Jenny Sages_After the dry season,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29206/
2012,Andrew Rogers,We are,,"We are all individuals possessing the sanctity of a singular life and the ability to express ourselves. At the same time we an integral part of the society within which we live. My work We are is a metaphor for that relationship with the organic, rippling and pulsating; ribbed and undulating outer surfaces acting as a counterpoint to the delicate, highly polished interior world of our thoughts. These individual figurative forms come together as a close community, yet it is always to be remembered that it is the individual that makes our world a place of justice and compassion. Bronze is a material weighted in the history of art but used in this installation in a light, contemporary manner. Andrew Rogers, 2012",False,data/images/2012_Andrew Rogers_We are.jpg,2012_Andrew Rogers_We are,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29205/
2012,Louis Pratt,Whatever,,"Whatever examines the near future in a world that is digitised and mapped. It is a sculpture of a disenfranchised youth living in a cyber world, his existence depending on technology. As constant users of cyberspace we enjoy its benefits – but do we understand its negative  aspects? The work uses ‘organic data’. I use this term as opposed to ‘inorganic data’, which would be data produced solely inside software. ‘Organic data’ is taken from life and digitised by a scanning process. This process mirrors our contemporary practices of investing our living world into computer spaces such as Facebook. I manipulate the data with digital tools then prepare it for 3D thermal plastic printing. The many 3D pieces are assembled and hand finished. Louis Pratt, 2012",False,data/images/2012_Louis Pratt_Whatever.jpg,2012_Louis Pratt_Whatever,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29204/
2012,James Powditch,Blues Point,mixed media,"I’m in the final stages of building a home and studio and hope it will be a beautiful place to live and work, but at the moment it is a mess on the way to being something. It got me thinking about our built environment – the good and the bad, and how a building that one person can regard as great architecture and urban planning, is hated by others. Blues Point Tower on Sydney Harbour polarises people. It is both loved and loathed. But, to borrow a line, some buildings are more equal than others. James Powditch, 2012",False,data/images/2012_James Powditch_Blues Point.jpg,2012_James Powditch_Blues Point,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29203/
2012,Alicia Mozqueira,"Kosciuszko, snowgums and puddles",,"I see beauty all around me, in colour, form and light. I see it overflowing in the natural world. I’m compelled to paint this, not because I view beauty in nature as transient or as an end in itself, but rather I see it as constantly revealing itself and constantly changing. Kosciuszko, snowgums and puddles is a synthesis of my visits to the Snowy Mountains. It is a place, which remains clear in my mind: the gums, the unpredictable, threatening weather, and the puddles formed from melted snow. Though there is no directional light in this painting, it has its own illumination and sense of altitude. Alicia Mozqueira, 2012",False,data/images/2012_Alicia Mozqueira_Kosciuszko_ snowgums and puddles.jpg,2012_Alicia Mozqueira_Kosciuszko_ snowgums and puddles,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29202/
2012,Robert Malherbe,Blackheath landscape,,"I’m lucky in that I have two studios – one in the Blue Mountains, where I live, and another in East Sydney. I refuse to paint from photographs because I like to be surprised, which is why I always paint from life. Blackheath landscape was painted on site on a still chilly afternoon late in August. This image took about three hours to complete. Quite often the work ends in failure. I’ve painted this small area of land, near a skate park and highway, many, many times but each time I walk past it I find there’s still more to see. Robert Malherbe, 2012",False,data/images/2012_Robert Malherbe_Blackheath landscape.jpg,2012_Robert Malherbe_Blackheath landscape,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29201/
2012,Guido (Guy) Maestri,No man’s land no. 7,,"After countless painting trips, and after the realisation that the task of rendering a place is not made easier by its beauty, I made a series of ‘side of the road’ paintings. Paintings of nowhere in particular but the places I drive through to get to somewhere ‘worth painting’; areas that I may have passed through for years and never considered. Here I found an almost subliminal familiarity or sense of place. It made sense to stop here, to literally pull off the road and sketch. It’s nothing special; it’s no man’s land. But as we pass through, our knowledge of these places accumulates, and it accounts for most of what we know and feel of the landscape. Guy Maestri, 2012",False,data/images/2012_Guido _Guy_ Maestri_No man_s land no_ 7.jpg,2012_Guido _Guy_ Maestri_No man_s land no_ 7,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29200/
2012,Alexander McKenzie,The island is a mighty fortress,,"This work continues my exploration of an implied narrative taking place within a landscape. The suggested journey and choices of direction in each of these paintings reflect the decisions – both temporal and spiritual – that all of us must make in our lives. In The island is a mighty fortress , the island looms large as a symbol of life’s struggle, both menacing and beautiful, with the various infrastructure indicating possible pathways toward the top. I want the viewer to explore each of these options and find his or her own way to reach the summit, symbolising our need to each find our own answers to life’s questions. The work is part of my latest series of paintings, which will be exhibited at Martin Browne Contemporary in Paddington in May. Alexander McKenzie, 2012",False,data/images/2012_Alexander McKenzie_The island is a mighty fortress.jpg,2012_Alexander McKenzie_The island is a mighty fortress,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29199/
2012,Noel McKenna,Upper Hunter vista,,"I first started painting the Upper Hunter region a bit over two years ago when I was approached to do some work which addressed the issue of open-cut coal mining in the area. One mine in particular, Bickmore Mine, was being targeted because of its closeness to the Pages River and to horse studs. I spent time there, visited the studs, went up in a helicopter and was able to see the extent of the mining. I staged an exhibition at Michael Reid’s gallery in Murrurundi of work about the mining as well as the area in general. The mine was stopped – though my exhibition had no influence in that. This painting has no reference to mining. It is more a sort of memory of my time in the area. Noel McKenna, 2012",False,data/images/2012_Noel McKenna_Upper Hunter vista.jpg,2012_Noel McKenna_Upper Hunter vista,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29198/
2012,Margaret Loy Pula,Anatye (bush potato),,"Anatye (bush potato) is a painting about Margaret Loy Pula’s culture. The story in it is her father’s dreaming. Her father’s country is Unjangola; desert country north of Utopia. The viewpoint of the work is looking down onto the landscape, similar to a topographical map, where the bush potato grows. The plant sends out long tendrils that can spread out up to three metres and produces large, white, edible tubers, similar to the common sweet potato. The bush potato vine grows after the rains. The women go out to collect the potato using crowbars to dig up the ground. Once collected, they are cooked in the hot coals of the fire. They are an important source of bush food for the Anmatyerre people. On behalf of Margaret Loy Pula, 2012",False,data/images/2012_Margaret Loy Pula_Anatye _bush potato_.jpg,2012_Margaret Loy Pula_Anatye _bush potato_,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29197/
2012,Michael  Lindeman,Original oil painting,,"Original oil painting is a further development on my 2010 Sulman Prize-winning work and 2011 Archibald finalist portrait. My paintings stem from an ongoing series consisting of a distinctive combination of text and imagery. Original oil painting is a large-scale conceptual landscape painting derived from an appropriated published classified advertisement offering a painting for sale. The replica painting contains the seller’s genuine phone number and the original, extremely cheap and negotiable price tag of $60 – a real bargain. I have been collecting classified advertisements for some time now and am interested in making ironic, witty paintings that replicate the mass printing process of print media with a hard-edged aesthetic. Original oil painting wryly addresses issues surrounding cultural meaning, value and the commodification of art. Michael Lindeman, 2012",False,data/images/2012_Michael  Lindeman_Original oil painting.jpg,2012_Michael  Lindeman_Original oil painting,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29196/
2012,Jasper Knight,The woods themselves,,"The wharf featured in The woods themselves is a private charter wharf in Lavendar Bay just under the Harbour Bridge. I chose this subject because this is the area I grew up in and this to me is Sydney. I constructed the work specifically for the Wynne Prize but it is part of a solo show called Total recall in which all the paintings take their subject matter from this area of the harbour foreshore. The work is enamel on a piece of marine plywood. I have used a lot more primary red than usual to link the warmth of the timber with the enamels. The title, The woods themselves , is the name of a friend’s Sydney-based band, which in turn comes from the 1981 film The evil dead . Jasper Knight, 2012",False,data/images/2012_Jasper Knight_The woods themselves.jpg,2012_Jasper Knight_The woods themselves,https://www.artgallery.nsw.gov.au/prizes/wynne/2012/29195/
